c1_NODE_HASH, c1_NODE_TEXT, c2_NODE_HASH, c2_NODE_TEXT, c3_NODE_HASH, c3_NODE_TEXT, r1_EDGE_DEDUPLICATION_HASH, r2_EDGE_DEDUPLICATION_HASH, r3_EDGE_DEDUPLICATION_HASH,
2835355320," ""OS""",667535708," ""Abeta""",505460950," ""cell damage""",255855670,2623830842,2648719542,
52061194," ""lipid peroxidation""",2414406877," ""free radicals""",505460950," ""cell damage""",2106845502,1045243424,1375294598,
52061194," ""lipid peroxidation""",3521468346," ""ROS""",505460950," ""cell damage""",2697314596,1054332118,1375294598,
613916536," ""hyperglycemia""",3521468346," ""ROS""",505460950," ""cell damage""",346644518,1054332118,2921021485,
2759444277," ""apoptosis""",3521468346," ""ROS""",505460950," ""cell damage""",4262648125,1054332118,812926204,
922389224," ""radiation""",3521468346," ""ROS""",505460950," ""cell damage""",2167478282,1054332118,778055015,
613916536," ""hyperglycemia""",3297091807," ""oxidative stress""",505460950," ""cell damage""",472900651,1527105647,2921021485,
2491519074," ""virus""",3297091807," ""oxidative stress""",505460950," ""cell damage""",2309989612,1527105647,1404232989,
1607674404," ""hydrogen peroxide""",3297091807," ""oxidative stress""",505460950," ""cell damage""",3396978965,1527105647,3296362347,
3005803055," ""infection""",3297091807," ""oxidative stress""",505460950," ""cell damage""",1007179932,1527105647,4019580943,
2759444277," ""apoptosis""",3297091807," ""oxidative stress""",505460950," ""cell damage""",448417664,1527105647,812926204,
4220930394," ""oxygen species""",3297091807," ""oxidative stress""",505460950," ""cell damage""",1988887964,1527105647,1022418195,
922389224," ""radiation""",3297091807," ""oxidative stress""",505460950," ""cell damage""",1489341426,1527105647,778055015,
3028660516," ""molecules""",3658681279," ""PI3K""",346819859," ""therapy""",3319813941,3603932790,4029245588,
1403136294," ""hormone""",3658681279," ""PI3K""",346819859," ""therapy""",582099250,3603932790,994229651,
3666207389," ""drugs""",1921292440," ""IOP""",346819859," ""therapy""",1859895510,1454986515,1909829029,
3666207389," ""drugs""",1921292440," ""IOP""",346819859," ""therapy""",1859895510,1454986515,4294650244,
3028660516," ""molecules""",3834801741," ""candidate""",346819859," ""therapy""",820263659,1848370150,4029245588,
3666207389," ""drugs""",3834801741," ""candidate""",346819859," ""therapy""",1897771611,1848370150,1909829029,
